cur_brand2,pre_brand2,zone2,edu2,pro2,enroll_type2,enroll_age,age_period,open_rate,ctr,or_all,ctr_all
Parent's Choice,Parent's Choice Stage 1,Others,High School,Quebec,Self Enrolled,-172,Stage 0,,,0.25,0.0
President's Choice,Parent's Choice Stage 2,Others,High School,Others,CoReg,475,Stage 3,,,0.29,0.0
Abbott,Abbott Solutions,Others,High School,Quebec,Self Enrolled,-168,Stage 0,,,0.04,0.0
MJN,MJN Stage1,MJN,High School,Alberta,Self Enrolled,-89,Stage 0,,,0.5,0.0
Nestle,Kirkland Solutions,MJN,Elementary School,Ontario,Self Enrolled,-240,Stage 0,,,0.01,0.0
MJN,MJN Solutions,MJN,High School,Ontario,Self Enrolled,-153,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,-226,Stage 0,,,0.17,0.0
Parent's Choice,Nestle Stage 1,Others,Elementary School,Manitoba,Self Enrolled,-144,Stage 0,,,0.0,0.0
President's Choice,President's Choice Stage 2,MJN,Elementary School,British Columbia,Self Enrolled,4,Stage 1,0.0,0.0,0.0,0.0
Abbott,Abbott Specialty,MJN,High School,Alberta,Self Enrolled,266,Stage 2,,,0.0,0.0
President's Choice,President's Choice Stage 2,Others,Others,Ontario,Self Enrolled,27,Stage 1,,,0.0,0.0
MJN,Abbott Stage1,MJN,High School,British Columbia,Self Enrolled,-553,Stage 0,0.0,0.0,0.44,0.14
Abbott,Abbott Stage1,Others,Elementary School,Ontario,Self Enrolled,-198,Stage 0,,,0.25,0.25
Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,177,Stage 1,,,0.0,0.0
MJN,MJN Solutions,MJN,High School,British Columbia,CoReg,-198,Stage 0,,,0.57,0.14
MJN,Abbott Stage2,MJN,High School,Ontario,Self Enrolled,650,Stage 3,,,0.75,0.25
Abbott,Abbott Stage1,MJN,High School,Alberta,Self Enrolled,-195,Stage 0,,,0.0,0.0
MJN,MJN Stage1,Others,High School,Prince Edward Island,Self Enrolled,17,Stage 1,,,0.18,0.0
Abbott,Abbott Stage1,MJN,High School,Ontario,Self Enrolled,-155,Stage 0,,,0.0,0.0
Abbott,MJN Solutions,Others,Elementary School,Ontario,Self Enrolled,26,Stage 1,,,0.0,0.0
President's Choice,Parent's Choice Stage 2,Others,Elementary School,Ontario,Self Enrolled,-248,Stage 0,,,0.0,0.0
Others,MJN Stage2,MJN,Others,British Columbia,Self Enrolled,-89,Stage 0,,,0.79,0.04
Parent's Choice,Nestle Stage 1,MJN,Elementary School,British Columbia,Self Enrolled,-163,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,MJN,High School,Alberta,Self Enrolled,109,Stage 1,,,0.0,0.0
Parent's Choice,Nestle Stage 1,MJN,High School,Ontario,Self Enrolled,-118,Stage 0,,,0.0,0.0
Abbott,MJN Solutions,Others,Elementary School,Quebec,Others,-158,Stage 0,,,0.38,0.0
Nestle,Abbott Stage2,MJN,Elementary School,Ontario,Self Enrolled,-39,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,Others,Elementary School,Ontario,Self Enrolled,-223,Stage 0,,,0.0,0.0
MJN,MJN Stage1,Others,High School,Quebec,Self Enrolled,-138,Stage 0,,,0.88,0.0
Nestle,Nestle Stage 1,Others,Elementary School,Quebec,Self Enrolled,-172,Stage 0,,,0.0,0.0
MJN,MJN Solutions,MJN,High School,Ontario,Self Enrolled,-43,Stage 0,,,0.2,0.0
MJN,MJN Stage1,MJN,Elementary School,British Columbia,Self Enrolled,-62,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,Elementary School,British Columbia,Self Enrolled,-36,Stage 0,,,0.43,0.14
Nestle,Nestle Stage 1,Others,High School,Quebec,Self Enrolled,233,Stage 2,,,0.13,0.0
MJN,Kirkland Stage 1,MJN,High School,Ontario,Self Enrolled,-124,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,MJN,High School,Ontario,CoReg,-182,Stage 0,,,0.0,0.0
MJN,MJN Solutions,MJN,High School,Ontario,Self Enrolled,-194,Stage 0,,,0.07,0.05
Nestle,Nestle Stage 1,Others,Others,Quebec,Self Enrolled,-174,Stage 0,,,0.04,0.04
Nestle,Nestle Stage 1,MJN,Elementary School,British Columbia,Self Enrolled,-230,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,MJN,Elementary School,Ontario,Self Enrolled,-196,Stage 0,,,0.0,0.0
Parent's Choice,,MJN,High School,British Columbia,CoReg,-202,Stage 0,,,0.44,0.11
MJN,MJN Stage1,Others,Elementary School,Quebec,Self Enrolled,-250,Stage 0,,,0.15,0.0
Abbott,Abbott Stage1,MJN,High School,British Columbia,Self Enrolled,-140,Stage 0,,,0.29,0.07
Parent's Choice,Parent's Choice Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-43,Stage 0,,,,
Nestle,Nestle Stage 1,MJN,High School,Manitoba,Self Enrolled,863,Stage 3,,,0.0,0.0
Abbott,Nestle Stage 2,MJN,Elementary School,British Columbia,Self Enrolled,34,Stage 1,,,0.0,0.17
Parent's Choice,Parent's Choice Stage 1,Others,Elementary School,Quebec,Self Enrolled,-376,Stage 0,0.0,0.0,0.22,0.03
Abbott,Abbott Stage1,MJN,High School,Ontario,Self Enrolled,-5,Stage 0,,,0.0,0.0
Abbott,MJN Solutions,MJN,High School,Ontario,Self Enrolled,-133,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,High School,Alberta,Self Enrolled,-230,Stage 0,,,0.5,0.0
MJN,MJN Stage1,MJN,High School,Manitoba,Self Enrolled,103,Stage 1,,,0.0,0.0
Nestle,Parent's Choice Stage 2,MJN,Elementary School,Alberta,Self Enrolled,-49,Stage 0,,,0.33,0.17
MJN,MJN Stage1,MJN,Elementary School,British Columbia,Self Enrolled,-142,Stage 0,,,0.08,0.0
MJN,MJN Stage1,MJN,High School,British Columbia,Self Enrolled,-9,Stage 0,,,0.06,0.0
Nestle,Nestle Stage 1,Others,Elementary School,Quebec,Self Enrolled,-195,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-185,Stage 0,,,0.08,0.0
Nestle,Nestle Stage 1,MJN,High School,Quebec,Self Enrolled,-111,Stage 0,0.0,0.0,0.05,0.01
MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,26,Stage 1,,,0.5,0.0
Abbott,Abbott Stage1,MJN,High School,Ontario,Self Enrolled,-214,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,Others,High School,Ontario,Self Enrolled,-191,Stage 0,,,0.21,0.0
President's Choice,President's Choice Stage 2,MJN,High School,Ontario,Self Enrolled,-61,Stage 0,,,0.25,0.25
MJN,MJN Stage2,MJN,Elementary School,Ontario,Self Enrolled,-187,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,MJN,Others,Ontario,Self Enrolled,-238,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Alberta,Self Enrolled,-55,Stage 0,,,0.04,0.0
Parent's Choice,Parent's Choice Stage 1,MJN,High School,Alberta,Self Enrolled,-146,Stage 0,,,0.13,0.0
Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,-122,Stage 0,,,0.6,0.0
MJN,Nestle Stage 1,MJN,High School,Alberta,Self Enrolled,-131,Stage 0,,,0.17,0.0
Abbott,Abbott Stage1,Others,Elementary School,Quebec,Self Enrolled,-262,Stage 0,,,0.0,0.0
President's Choice,Parent's Choice Stage 1,Others,Elementary School,Ontario,Self Enrolled,-43,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,MJN,High School,Nova Scotia,Self Enrolled,-80,Stage 0,,,0.03,0.0
MJN,MJN Stage1,Others,High School,Ontario,Self Enrolled,-88,Stage 0,,,0.15,0.15
Abbott,Abbott Stage1,Others,High School,Quebec,Self Enrolled,-24,Stage 0,,,0.25,0.0
MJN,MJN Stage1,Others,High School,Ontario,Self Enrolled,-163,Stage 0,0.0,0.0,0.08,0.0
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,7,Stage 1,,,0.0,0.0
Abbott,Abbott Stage1,Others,Elementary School,Ontario,Self Enrolled,35,Stage 1,,,0.0,0.0
MJN,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-135,Stage 0,,,0.22,0.06
Abbott,MJN Stage2,MJN,High School,Ontario,Self Enrolled,139,Stage 1,,,0.25,0.08
Abbott,Abbott Stage1,MJN,High School,Ontario,Self Enrolled,-77,Stage 0,,,0.27,0.0
Parent's Choice,Parent's Choice Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-209,Stage 0,,,0.17,0.17
MJN,MJN Stage1,MJN,Elementary School,Alberta,Self Enrolled,-216,Stage 0,,,0.0,0.0
MJN,MJN Solutions,MJN,High School,Ontario,Self Enrolled,-210,Stage 0,,,0.33,0.0
President's Choice,President's Choice Stage 2,MJN,High School,Ontario,Self Enrolled,-16,Stage 0,,,0.0,0.0
MJN,MJN Stage1,Others,Elementary School,Ontario,Self Enrolled,-40,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,Others,Elementary School,Ontario,Self Enrolled,-209,Stage 0,,,0.17,0.0
MJN,Abbott Stage1,Others,High School,Quebec,Self Enrolled,-166,Stage 0,,,0.06,0.06
Nestle,Nestle Stage 2,MJN,Elementary School,Ontario,CoReg,-224,Stage 0,,,0.73,0.09
Nestle,Nestle Stage 1,MJN,High School,Manitoba,Self Enrolled,-45,Stage 0,,,0.25,0.0
MJN,MJN Stage1,MJN,Elementary School,Alberta,Self Enrolled,-156,Stage 0,,,0.15,0.09
Nestle,Nestle Stage 1,Others,High School,Ontario,CoReg,-193,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,Others,Others,Ontario,Self Enrolled,-196,Stage 0,,,0.0,0.0
MJN,MJN Stage1,Others,High School,Ontario,Self Enrolled,-124,Stage 0,,,0.0,0.0
Abbott,Abbott Solutions,MJN,High School,Ontario,CoReg,-179,Stage 0,,,0.13,0.0
MJN,MJN Solutions,MJN,Elementary School,Ontario,Self Enrolled,-166,Stage 0,,,0.0,0.0
MJN,MJN Stage1,Others,High School,Quebec,CoReg,441,Stage 3,,,0.86,0.0
MJN,MJN Stage1,MJN,Elementary School,Quebec,Self Enrolled,-125,Stage 0,0.0,0.0,0.15,0.04
Nestle,MJN Stage2,MJN,Elementary School,Ontario,Self Enrolled,-37,Stage 0,,,0.4,0.0
Abbott,Abbott Stage1,MJN,Elementary School,Ontario,Self Enrolled,-128,Stage 0,,,0.2,0.0
MJN,MJN Stage1,Others,Elementary School,Quebec,CoReg,66,Stage 1,,,0.13,0.0
MJN,MJN Stage1,MJN,High School,British Columbia,Self Enrolled,-150,Stage 0,,,0.0,0.0
MJN,MJN Stage1,Others,High School,Ontario,Self Enrolled,-111,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,MJN,High School,Ontario,Self Enrolled,27,Stage 1,,,0.12,0.06
MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,-723,Stage 0,,,0.11,0.0
President's Choice,President's Choice Stage 2,MJN,Elementary School,Alberta,CoReg,-68,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 2,MJN,High School,British Columbia,Self Enrolled,-206,Stage 0,,,0.5,0.0
Nestle,Nestle Stage 1,Others,High School,Quebec,Self Enrolled,-31,Stage 0,,,0.4,0.1
Abbott,Abbott Solutions,Others,High School,Ontario,Self Enrolled,42,Stage 1,,,0.1,0.0
MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,-77,Stage 0,,,0.1,0.0
Parent's Choice,Nestle Stage 2,MJN,Elementary School,Quebec,Self Enrolled,-3,Stage 0,,,0.17,0.0
MJN,MJN Solutions,MJN,Elementary School,Alberta,Self Enrolled,-94,Stage 0,,,0.0,0.0
President's Choice,Nestle Stage 2,MJN,Elementary School,Ontario,Self Enrolled,-93,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,Others,High School,Manitoba,Self Enrolled,-76,Stage 0,,,0.15,0.0
MJN,MJN Stage1,MJN,Elementary School,British Columbia,Self Enrolled,-230,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,-35,Stage 0,,,0.0,0.0
MJN,MJN Stage1,Others,High School,Newfoundland & Labrador,Self Enrolled,81,Stage 1,,,0.31,0.06
Nestle,MJN Stage2,MJN,High School,Ontario,Self Enrolled,-138,Stage 0,,,0.0,0.0
MJN,Abbott Stage1,Others,High School,Saskatchewan,Self Enrolled,280,Stage 2,,,0.0,0.0
MJN,MJN Solutions,Others,Elementary School,Ontario,Self Enrolled,-170,Stage 0,,,0.0,0.0
Parent's Choice,Parent's Choice Stage 1,MJN,Elementary School,Newfoundland & Labrador,Self Enrolled,-232,Stage 0,,,0.4,0.0
MJN,MJN Stage1,Others,Elementary School,Ontario,Self Enrolled,-44,Stage 0,,,0.5,0.0
MJN,MJN Solutions,Others,High School,Quebec,Self Enrolled,186,Stage 2,,,0.05,0.05
Abbott,MJN Stage2,MJN,High School,Ontario,Self Enrolled,-25,Stage 0,,,1.0,0.33
MJN,MJN Stage1,MJN,Elementary School,Alberta,Self Enrolled,-145,Stage 0,,,0.14,0.0
MJN,MJN Stage1,Others,Others,Quebec,Self Enrolled,-160,Stage 0,,,0.1,0.0
Abbott,Abbott Stage1,Others,High School,Ontario,Self Enrolled,-89,Stage 0,,,0.1,0.0
MJN,MJN Stage1,MJN,Elementary School,Alberta,CoReg,-14,Stage 0,,,0.17,0.0
MJN,MJN Stage1,MJN,High School,Nova Scotia,Self Enrolled,107,Stage 1,,,0.33,0.0
Abbott,Kirkland Stage 1,MJN,High School,British Columbia,CoReg,-172,Stage 0,,,0.29,0.14
Abbott,Abbott Stage2,Others,High School,Quebec,Self Enrolled,-57,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,High School,Alberta,Self Enrolled,-50,Stage 0,,,0.0,0.0
Nestle,Kirkland Stage 1,MJN,High School,Ontario,Self Enrolled,168,Stage 1,,,0.0,0.0
Abbott,Abbott Stage2,Others,Elementary School,Ontario,Self Enrolled,-105,Stage 0,,,0.05,0.0
Abbott,Abbott Stage1,MJN,Elementary School,Ontario,Self Enrolled,-63,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Manitoba,Self Enrolled,26,Stage 1,,,0.05,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-194,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-245,Stage 0,,,0.0,0.0
MJN,Abbott Stage1,Others,High School,Saskatchewan,Self Enrolled,-109,Stage 0,,,0.15,0.0
MJN,MJN Stage1,Others,Elementary School,Ontario,Self Enrolled,-29,Stage 0,,,0.25,0.08
Abbott,Abbott Stage1,MJN,High School,Quebec,Self Enrolled,-185,Stage 0,,,0.2,0.0
MJN,MJN Stage1,Others,Elementary School,Ontario,Self Enrolled,-92,Stage 0,0.0,0.0,0.41,0.0
Nestle,Nestle Stage 1,MJN,High School,Alberta,Self Enrolled,-225,Stage 0,,,0.32,0.05
Abbott,MJN Stage1,MJN,Elementary School,British Columbia,Self Enrolled,-29,Stage 0,,,0.25,0.0
Nestle,Nestle Stage 1,MJN,High School,British Columbia,Self Enrolled,-85,Stage 0,,,0.63,0.04
Nestle,Nestle Stage 1,Others,High School,Quebec,Self Enrolled,-218,Stage 0,,,0.06,0.0
Abbott,Nestle Stage 1,MJN,High School,British Columbia,Self Enrolled,-177,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,High School,Alberta,Self Enrolled,216,Stage 2,,,0.75,0.0
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,102,Stage 1,,,0.25,0.25
Nestle,Nestle Stage 2,Others,High School,Ontario,Self Enrolled,-19,Stage 0,,,0.06,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-214,Stage 0,,,0.33,0.0
Abbott,Nestle Stage 1,MJN,High School,Ontario,Self Enrolled,6,Stage 1,,,0.0,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-48,Stage 0,,,0.08,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Manitoba,Self Enrolled,-81,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,High School,Nova Scotia,Self Enrolled,-93,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,5,Stage 1,,,0.25,0.25
MJN,MJN Stage1,Others,High School,British Columbia,Self Enrolled,-117,Stage 0,,,0.25,0.15
MJN,Abbott Stage1,MJN,High School,Manitoba,Self Enrolled,-88,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,MJN,Elementary School,Alberta,Self Enrolled,-238,Stage 0,,,0.0,0.0
Parent's Choice,Parent's Choice Stage 1,MJN,High School,Manitoba,Self Enrolled,-114,Stage 0,,,0.0,0.0
Parent's Choice,,Others,Elementary School,New Brunswick,CoReg,16,Stage 1,,,0.0,0.0
Abbott,MJN Stage1,Others,Elementary School,Quebec,Self Enrolled,22,Stage 1,,,0.0,0.0
Abbott,Abbott Stage1,Others,High School,Quebec,Self Enrolled,-155,Stage 0,,,0.0,0.0
Parent's Choice,,MJN,Elementary School,Ontario,Self Enrolled,-828,Stage 0,,,0.13,0.0
Parent's Choice,,MJN,Elementary School,Ontario,Self Enrolled,46,Stage 1,,,0.13,0.0
MJN,MJN Solutions,MJN,High School,Ontario,Self Enrolled,-217,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,-124,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,MJN,Elementary School,Ontario,Self Enrolled,-1216,Stage 0,,,0.06,0.06
Nestle,Nestle Stage 1,MJN,High School,Nova Scotia,CoReg,-202,Stage 0,,,0.25,0.13
Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-148,Stage 0,,,0.17,0.17
Abbott,,MJN,High School,British Columbia,CoReg,-253,Stage 0,,,0.73,0.0
Nestle,Abbott Stage1,Others,Elementary School,Quebec,Self Enrolled,-240,Stage 0,,,0.09,0.0
Nestle,Nestle Stage 1,MJN,High School,British Columbia,Self Enrolled,5,Stage 1,,,0.0,0.0
MJN,Abbott Stage1,Others,High School,Yukon,CoReg,-151,Stage 0,,,0.0,0.0
Parent's Choice,Parent's Choice Stage 1,MJN,High School,Ontario,Self Enrolled,-194,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,49,Stage 1,,,0.09,0.04
Nestle,Nestle Stage 1,MJN,High School,Alberta,Self Enrolled,5,Stage 1,,,0.0,0.0
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,-12,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,Others,Ontario,Self Enrolled,11,Stage 1,,,0.05,0.0
Abbott,Abbott Stage1,MJN,High School,Alberta,CoReg,-238,Stage 0,,,0.13,0.0
MJN,MJN Stage1,MJN,High School,British Columbia,Self Enrolled,6,Stage 1,,,0.0,0.0
Nestle,MJN Stage2,MJN,High School,Alberta,Self Enrolled,97,Stage 1,,,0.5,0.5
MJN,MJN Solutions,MJN,Elementary School,Alberta,Self Enrolled,-683,Stage 0,,,0.63,0.0
MJN,MJN Stage1,Others,High School,Ontario,Self Enrolled,-186,Stage 0,,,0.2,0.0
MJN,MJN Stage1,Others,High School,Ontario,Self Enrolled,-16,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,High School,British Columbia,Self Enrolled,-145,Stage 0,,,0.25,0.25
Abbott,Abbott Stage1,Others,Elementary School,Quebec,Self Enrolled,-249,Stage 0,,,0.0,0.0
Parent's Choice,Parent's Choice Stage 1,Others,Elementary School,New Brunswick,CoReg,-239,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,8,Stage 1,,,0.0,0.0
Abbott,Abbott Stage1,MJN,High School,Ontario,Self Enrolled,7,Stage 1,,,0.14,0.05
MJN,MJN Solutions,MJN,High School,British Columbia,Self Enrolled,18,Stage 1,,,0.0,0.0
MJN,MJN Solutions,MJN,Elementary School,Ontario,Self Enrolled,-244,Stage 0,,,0.4,0.0
President's Choice,President's Choice Stage 2,Others,Elementary School,Ontario,Self Enrolled,-234,Stage 0,,,0.2,0.0
Abbott,Abbott Stage2,MJN,Elementary School,British Columbia,Self Enrolled,13,Stage 1,,,0.33,0.0
Nestle,Nestle Stage 1,MJN,High School,British Columbia,Self Enrolled,-125,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,-168,Stage 0,,,0.2,0.1
Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-235,Stage 0,,,0.25,0.0
MJN,MJN Stage1,Others,Elementary School,Ontario,Self Enrolled,-5,Stage 0,,,0.0,0.0
MJN,Parent's Choice Stage 2,MJN,Elementary School,British Columbia,Self Enrolled,6,Stage 1,,,0.33,0.08
MJN,MJN Stage1,Others,Elementary School,Ontario,Self Enrolled,-5,Stage 0,,,0.38,0.25
Abbott,Abbott Stage1,MJN,High School,Ontario,Self Enrolled,-166,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,-60,Stage 0,,,0.08,0.04
Abbott,MJN Solutions,Others,Elementary School,Ontario,Self Enrolled,-38,Stage 0,,,0.0,0.0
MJN,MJN Solutions,Others,Elementary School,Saskatchewan,Self Enrolled,-29,Stage 0,0.0,0.0,0.1,0.1
MJN,MJN Solutions,MJN,Elementary School,Alberta,Self Enrolled,-1363,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,MJN,High School,Alberta,Self Enrolled,25,Stage 1,,,0.1,0.0
Nestle,MJN Stage2,MJN,High School,Ontario,Self Enrolled,-81,Stage 0,,,0.36,0.03
Abbott,Kirkland Stage 1,MJN,Elementary School,Alberta,Self Enrolled,97,Stage 1,,,0.33,0.0
MJN,MJN Stage1,MJN,Elementary School,Manitoba,Self Enrolled,18,Stage 1,,,0.08,0.08
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,-229,Stage 0,,,0.0,0.0
MJN,MJN Stage1,Others,High School,Ontario,Self Enrolled,-20,Stage 0,,,0.0,0.0
MJN,MJN Solutions,MJN,Elementary School,Ontario,Self Enrolled,-74,Stage 0,0.0,0.0,0.09,0.0
Abbott,Abbott Stage2,MJN,High School,Alberta,Self Enrolled,-72,Stage 0,,,0.0,0.0
MJN,MJN Solutions,Others,Elementary School,Ontario,Self Enrolled,-238,Stage 0,0.25,0.0,0.13,0.02
Abbott,Nestle Stage 1,MJN,High School,Alberta,Self Enrolled,0,Stage 1,,,0.22,0.0
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,10,Stage 1,,,0.5,0.5
Abbott,Kirkland Solutions,MJN,High School,Saskatchewan,Self Enrolled,-81,Stage 0,,,0.14,0.0
Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,-198,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,43,Stage 1,0.0,0.0,0.32,0.09
Abbott,Abbott Stage2,Others,Elementary School,Ontario,Self Enrolled,78,Stage 1,,,0.25,0.25
Nestle,Nestle Stage 1,MJN,High School,British Columbia,Self Enrolled,-4167,Stage 0,,,0.0,0.0
MJN,MJN Solutions,MJN,High School,Ontario,Self Enrolled,-1042,Stage 0,,,0.19,0.0
MJN,MJN Stage1,MJN,High School,Alberta,Self Enrolled,-198,Stage 0,,,0.15,0.15
Abbott,Abbott Stage2,MJN,Elementary School,Ontario,Self Enrolled,-185,Stage 0,,,0.13,0.06
Abbott,Abbott Stage1,MJN,Elementary School,Ontario,Self Enrolled,-244,Stage 0,,,0.06,0.01
Nestle,Nestle Stage 1,MJN,High School,Ontario,Self Enrolled,-233,Stage 0,,,0.75,0.25
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,-153,Stage 0,,,0.45,0.02
MJN,MJN Stage1,MJN,Elementary School,Manitoba,Self Enrolled,-119,Stage 0,1.0,0.5,0.67,0.09
Abbott,Abbott Stage1,MJN,Elementary School,Newfoundland & Labrador,CoReg,-112,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 2,MJN,High School,Ontario,Self Enrolled,10,Stage 1,,,0.0,0.0
Nestle,Nestle Stage 1,Others,High School,Quebec,Self Enrolled,-186,Stage 0,,,0.0,0.0
Nestle,Nestle Solutions,MJN,Elementary School,Ontario,Self Enrolled,-257,Stage 0,,,0.08,0.0
Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,43,Stage 1,,,0.0,0.0
Abbott,Kirkland Stage 1,MJN,High School,Ontario,Self Enrolled,-236,Stage 0,,,0.42,0.26
Nestle,Nestle Stage 1,MJN,High School,Ontario,Self Enrolled,-102,Stage 0,,,0.15,0.0
Others,Abbott Stage1,Others,High School,Ontario,Self Enrolled,-533,Stage 0,0.0,0.0,0.0,0.0
Abbott,Abbott Stage1,Others,Elementary School,Ontario,Self Enrolled,26,Stage 1,,,0.0,0.0
Abbott,Abbott Stage1,Others,Elementary School,Quebec,Self Enrolled,-181,Stage 0,,,0.0,0.0
Abbott,Nestle Stage 1,Others,High School,Ontario,Self Enrolled,-237,Stage 0,,,0.06,0.02
Abbott,Abbott Stage1,MJN,High School,Alberta,Self Enrolled,-116,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,MJN,Elementary School,Manitoba,Self Enrolled,-114,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,Others,British Columbia,Self Enrolled,-64,Stage 0,,,0.15,0.08
MJN,MJN Solutions,Others,High School,Ontario,Self Enrolled,-15,Stage 0,,,0.8,0.2
Nestle,Nestle Stage 1,MJN,High School,Alberta,Self Enrolled,-176,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,Others,High School,Ontario,CoReg,18,Stage 1,,,0.0,0.0
Abbott,Abbott Solutions,Others,High School,Quebec,Self Enrolled,-176,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,-141,Stage 0,,,0.0,0.0
MJN,MJN Stage2,MJN,High School,Ontario,Self Enrolled,7,Stage 1,,,0.31,0.0
MJN,MJN Stage1,MJN,Elementary School,Alberta,Self Enrolled,-213,Stage 0,,,0.5,0.1
Nestle,Nestle Stage 1,MJN,Elementary School,British Columbia,Self Enrolled,-173,Stage 0,,,0.42,0.17
MJN,MJN Stage2,MJN,High School,Ontario,Self Enrolled,-49,Stage 0,,,0.2,0.0
MJN,MJN Stage1,MJN,Elementary School,Quebec,Self Enrolled,-227,Stage 0,,,0.1,0.05
Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,-217,Stage 0,,,0.75,0.25
MJN,MJN Stage1,MJN,High School,Nova Scotia,Self Enrolled,18,Stage 1,,,0.1,0.1
MJN,MJN Stage1,MJN,Elementary School,Alberta,Self Enrolled,257,Stage 2,,,0.0,0.0
Parent's Choice,Parent's Choice Stage 1,Others,Elementary School,Ontario,Self Enrolled,-120,Stage 0,,,0.08,0.0
MJN,MJN Specialty,MJN,Elementary School,Saskatchewan,Self Enrolled,-183,Stage 0,,,0.02,0.0
MJN,MJN Stage1,MJN,Elementary School,Manitoba,Self Enrolled,-245,Stage 0,,,0.3,0.07
MJN,MJN Stage2,MJN,Elementary School,Ontario,Self Enrolled,-127,Stage 0,,,0.5,0.1
Abbott,Abbott Solutions,MJN,High School,British Columbia,Self Enrolled,-150,Stage 0,,,0.58,0.0
